"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation? "	"New Req for S?"	"New CTS for S?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible "	"Comment (external) "	"New vs Updated(Q)"	"CTS Bug Id "	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"7.4.8"	"C-1-2"	"07040800.670102"	"7.4.8/C-1-2"	"""C-1-2] MUST declare the correct feature flags via     [`android.hardware.se.omapi.uicc`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_UICC)     for the device with UICC-based secure elements,     [`android.hardware.se.omapi.ese`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_ESE)     for the device with eSE-based secure elements and     [`android.hardware.se.omapi.sd`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_SD)     for the device with SD-based secure elements."""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.3"	"A-3-1"	"07030300.650301"	"7.3.3/A-3-1"	"""[7.3.3/A-3-1] MUST determine location the very first time      the GPS/GNSS receiver is turned on or after 4+ days within 60 seconds. *    ["""	""	""	""	""	""	""	""	""	""	""	""
"6_1_developer_tools"	"6.1"	"C-5-1"	"06010000.670501"	"6.1/C-5-1"	"""C-5-1] MUST have the `AdbManager#isAdbWifiQrSupported()` method      return `true`.  """	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-12-3"	"03020305.671203"	"3.2.3.5/C-12-3"	"""C-12-3] MUST honor only allow preinstalled Android applications to handle the following intents [`MediaStore.ACTION_IMAGE_CAPTURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_IMAGE_CAPTURE), [`MediaStore.ACTION_IMAGE_CAPTURE_SECURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_IMAGE_CAPTURE_SECURE), and [`MediaStore.ACTION_VIDEO_CAPTURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_VIDEO_CAPTURE) as described in the [SDK document](https://developer.android.com/preview/behavior-changes-11?hl=zh-tw#media-capture).  If device implementations report `android.software.device_admin`, they:  """	""	""	""	""	""	""	""	""	""	""	""
""	"3.8.15"	"C-1-5"	"03081500.670105"	"3.8.15/C-1-5"	"""C-1-5] MUST NOT have cutout(s) if the device's aspect ratio is 1.0(1:1). """	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-4-3"	"07031000.670403"	"7.3.10/C-4-3"	"""C-4-3] MUST implement the [ACTION_BIOMETRIC_ENROLL](https://developer.android.com/reference/android/provider/Settings#ACTION_BIOMETRIC_ENROLL)     action on devices that have either **Class 3** or **Class 2** biometrics.     This action MUST only present the enrollment entry points for **Class 3**     or **Class 2** biometrics.  If device implementations support passive biometrics, they:  """	""	""	""	""	""	""	""	""	""	""	""
""	"9.8.10"	"C-1-1"	"09081000.670101"	"9.8.10/C-1-1"	"""C-1-1] MUST obtain user consent every time the System API     `BUGREPORT_MODE_TELEPHONY` is called to generate a report and MUST NOT     prompt the user to consent to all future requests from the application. """	""	""	""	""	""	""	""	""	""	""	""
"3_18_contacts"	"3.18"	"C-1-1"	"03180000.670101"	"3.18/C-1-1"	"""C-1-1] The      [`ACCOUNT_NAME`](https://developer.android.com/reference/android/provider/ContactsContract.SyncColumns.html#ACCOUNT_NAME),      of the **custom local account** MUST be returned by      [`ContactsContract.RawContacts.getLocalAccountName`](https://developer.android.com/reference/android/provider/ContactsContract.RawContacts.html#getLocalAccountName\(\)) """	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.3"	"C-1-1"	"07040503.670101"	"7.4.5.3/C-1-1"	"""C-1-1] MUST provide a captive portal application to handle the intent     [`ACTION_CAPTIVE_PORTAL_SIGN_IN`](https://developer.android.com/reference/android/net/ConnectivityManager#ACTION_CAPTIVE_PORTAL_SIGN_IN)     and display the captive portal login page, by sending that intent, on     call to the System API     `ConnectivityManager#startCaptivePortalApp(Network, Bundle)`. """	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.1.1"	"C-2-1"	"07010101.670201"	"7.1.1.1/C-2-1"	"""C-2-1] MUST implement the latest available stable version of the [extensions API]( https://developer.android.com/jetpack/androidx/releases/window-extensions) or the stable version of [sidecar API]( https://cs.android.com/androidx/platform/frameworks/support/+/androidx-main:window/window-sidecar/api/) to be used by [Window Manager Jetpack]( https://developer.android.com/jetpack/androidx/releases/window) library.  If device implementations include an Android-compatible display(s) that is foldable, or includes a folding hinge between multiple display panels and if the hinge or fold crosses a fullscreen application window, they:  """	""	""	""	""	""	""	""	""	""	""	""
"3_15_instant-apps"	"3.15"	"C-1-1"	"03150000.670101"	"3.15/C-1-1"	"""C-1-1] MUST preload one or more applications or service components     with an intent handler for the intents listed in the SDK [here](https://developer.android.com/topic/google-play-instant/instant-app-intents)     and make the intents visible for Instant Apps."""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.13"	"C-1-1"	"07031300.670101"	"7.3.13/C-1-1"	"""C-1-1] MUST implement and report [`TYPE_HINGLE_ANGLE`](https://developer.android.com/reference/android/hardware/Sensor#STRING_TYPE_HINGE_ANGLE). """	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-9-1"	"03020305.670901"	"3.2.3.5/C-9-1"	"""C-9-1] MUST implement the [Settings#ACTION_PROCESS_WIFI_EASY_CONNECT_URI](https://developer.android.com/reference/android/provider/Settings.html#ACTION_PROCESS_WIFI_EASY_CONNECT_URI) Intent APIs as described in the SDK documentation.  If device implementations provide the data saver mode, they: """	""	""	""	""	""	""	""	""	""	""	""
"9_10_device-integrity"	"9.10"	"C-0-5"	"09100000.670005"	"9.10/C-0-5"	"""C-0-5] MUST enable the above-described cryptographic file verification      protection for all files for the package that is installed      with trusted signature files as described [here](      https://developer.android.com/preview/security/features/apk-verity).  If device implementations are already launched without the ability to verify file content against a trusted key on an earlier Android version and can not add support for this feature with a system software update, they MAY be exempted from the requirement. The upstream Android Open Source project provides a preferred implementation of this feature based on the Linux kernel [fs-verity]( https://www.kernel.org/doc/html/latest/filesystems/fsverity.html) feature.  Device implementations:  """	""	""	""	""	""	""	""	""	""	""	""
""	"9.11.3"	"C-0-3"	"09110300.670003"	"9.11.3/C-0-3"	"""C-0-3] The cryptographic operations needed to implement the Identity      Credential System (e.g. the `android.security.identity.*` APIs) MUST be      performed entirely in the trusted application and private key material MUST      never leave the isolated execution environment unless specifically required      by higher-level APIs (e.g. the      [createEphemeralKeyPair()](https://developer.android.com/reference/android/security/identity/IdentityCredential#createEphemeralKeyPair%28%29)      method).  """	""	""	""	""	""	""	""	""	""	""	""
